,cancer_admissions_AA,Diabetes_admissions_AA,Stroke_admissions_AA,fruit_consump_%,obsese_adults_%,overweight_adults_%,diabetic_adults_%,heartrate_adult_%,poor_mental_health_%,smoking_rate_%,infant_rate_2014_per1000,hiv_density_per1000,firearm_deaths_2015_%,live_births_2014_%,gonorrhea_%,nonfatal_opiod_hospitalevents_%,hypertension_%,diagnosed_depression_%,anyexercise_%,suicide_deaths_%,risk_per1000,smokers_helpline_%,substanceuse_rate_AA,mentalhealth_hosp_rate,breast_cancer_sir,prostrate_cancer_sir,colorectal_cancer_sir,lung_cancer_sir,cervical_cancer_sir
Milton,0.4378360938780809,0.4361807825703819,0.4495388753937747,-0.8397801689172825,0.5330592532189425,0.4762519910431236,0.23535200652715396,-0.06519626105687237,0.5252101316489091,0.3860798960077656,-0.1959245131666408,-0.04102590769004505,0.1832862978127036,1.1240953469369128,0.1601900683923918,0.6332772443267957,-0.5101934035711303,0.03736426311535895,0.4017822766231965,0.14223596272103906,0.733645727310227,-0.17029398188378447,0.02842966609785208,0.4284080525556395,0.020760024558717644,-0.8096454877971841,-0.05130390232698183,0.4131937759239136,-0.4051027945802816
Monroe,0.5331879394465956,0.6171353545638208,0.5996652898665888,0.8623269379721187,0.41699130901820936,0.8203256563228227,0.3267474203593265,-0.3737600058481496,0.05585059792429495,0.5693233599315978,-0.4750529211894268,0.2148570095082596,0.1832862978127036,-2.8872996362817185,0.2335947218387528,1.3684416252740077,1.1334095341355344,1.2796892981796475,-1.5504053721424689,-0.931728835076588,0.8474902919646357,-0.2729398703191553,0.4172439028837536,-0.6243144342440498,2.467608527990436,2.322818608145812,2.2148845735318368,2.3091985797905776,0.9139486492793704
Monson,0.3325517667205044,-0.3829422484395245,-0.061963130377541024,0.1607823392241127,-0.20173581800735016,-0.5024700092367442,0.15812038082772295,-0.06519626105687237,-0.26034637962739043,-0.29351397724267664,0.31522938394052585,-0.5031369582254208,0.1832862978127036,-0.4290131832658396,0.08978401323790924,-1.07684192875327,-0.8262279273060816,1.317633029372435,-0.3716721865573536,0.5473316797265502,0.3250971475703208,-0.06195733701401949,-0.08958151892131666,-0.6994654519163169,-0.5707857674797197,-0.17788802306918494,0.7284598743126117,0.22626372483846785,-1.1379091522800884
Montague,0.3184535756599514,-0.21102449342232388,-0.021000639262911982,0.3297962764101586,-0.3030467073840337,-0.05759637274589601,-1.2706646946117488,0.2719399710256157,-0.2190013000865328,-0.5461834942204051,1.4853372932138502,-0.0013473892970991635,0.1832862978127036,0.4648389709847117,0.1805431338904732,0.24274142991695544,-0.7093633298538218,-1.2860807641787713,-0.6199767559179002,0.0959718250149009,-0.30340710391310377,0.010495375778979087,0.10043649085531098,-1.796578011892944,0.10142535983668637,0.4275462139618143,-0.4411857906467786,-0.17430067034463026,-2.1505143011016394
Monterey,-4.378383217802623,0.6171353545638208,3.7116496625720825,3.1444934919304823,-0.7037090760745808,-1.615121870283505,1.5696258880249363,-3.9311244887327903,-0.5692932748252185,1.6927300179212,-0.4750529211894268,2.2802369190707457,0.1832862978127036,-1.0282362294372152,0.2335947218387528,1.215030649089052,0.42682174225890185,0.635258118077063,0.6529409214936341,-0.985102762306626,0.8474902919646357,0.062123931544309674,8.418009839483078,-2.4825574133915294,2.4407200828977795,2.322818608145812,2.2148845735318368,2.282494286778371,0.9139486492793704
Montgomery,-0.21140517682032184,0.6171353545638208,0.8713490911125417,0.3055026846381523,-0.7652506055423852,-0.7441925231189404,-0.8332443209348095,-0.33614010769511005,0.06050496514127333,1.187282061865957,-0.4750529211894268,-1.1864617898940006,0.1832862978127036,-1.6199144521268156,0.2335947218387528,1.215030649089052,-0.4584563331163118,0.4898234541365176,0.2819111052077644,-0.24670491062304756,0.8474902919646357,-0.12065713243981245,1.1203087149066324,1.435993892254534,2.4407200828977795,-2.1784533280411824,2.1905169555118498,2.282494286778371,0.9139486492793704
Mount Washington,0.5331879394465956,0.6171353545638208,0.5996652898665888,1.3312330599477595,-2.3275436408498136,-3.3783034783511234,-1.2123052168519983,0.5426876185708109,0.038063597475934,0.4077237392284896,-0.4750529211894268,0.3375645314231117,0.1832862978127036,-2.8872996362817185,0.2335947218387528,-0.12911978732838927,-0.12263750755767155,1.096291967473898,-0.4858352069530068,0.4399779138247336,0.8474902919646357,-0.2729398703191553,0.2314563247216802,-0.03051055639704002,2.4407200828977795,2.349141835842812,2.1905169555118498,2.3091985797905776,0.9139486492793704
Nahant,-0.12269171934428301,-2.3281884545757108,-0.8481290766938767,-0.5648508310946447,0.03349176422357069,-0.5660233858782941,-0.7686591275654484,1.6204848993555692,0.1944494953220462,0.17983959079251072,-0.4750529211894268,0.040487181214132965,-0.2626012408626903,0.06919517957701363,0.07567829130771546,0.4432513357904333,0.2995846326100036,-0.7458394153661002,0.14206140522308575,0.5473316797265502,0.8474902919646357,-0.2018923102381588,-0.043200317568254286,0.08096068860751511,0.28964447548528005,-0.4411203000391846,0.2898427499528404,0.2796723108628809,-3.5628320086685403
Nantucket,0.2689855950154204,0.12543758405263467,0.14315630331220616,0.8886690287053524,0.4166099550848232,-0.13386042471575452,0.19673619367743844,-0.4023324931393611,0.132431876010759,-0.4416305906434139,-0.1761281721855686,-0.04759634211147189,0.1832862978127036,1.3256442060458529,0.0885769088443208,0.4818509643361778,1.2946113753128856,1.1487466589947601,0.8441639806563542,0.20697217613216196,0.08288025714985743,-0.19419663641894067,-0.11008346208142653,1.0961490122372173,-1.4312160104447194,0.2432836200828145,0.07053418777295467,0.17285513881405473,0.9139486492793704
Natick,0.4679330869812423,0.4872940436175795,0.4627212238570274,0.6678241507822517,0.4107874901781172,0.6669121209677734,1.2007473277700405,-0.4023324931393611,0.008396637388185524,0.5429092513732522,-0.3787504316078077,0.09402949297582402,0.1832862978127036,1.514861823813725,0.20160019271996552,0.39597213722354985,-0.5028264923898192,-0.680855686763367,0.738563186790374,0.23623726716662824,0.5605132788712737,-0.2009672066075265,0.04693141968136584,-0.365689692971513,-0.3287897616458135,-0.12524156767518502,-0.3437153185668294,-0.014074912271391016,0.6607973620739828
