,cancer_admissions_AA,Diabetes_admissions_AA,Stroke_admissions_AA,fruit_consump_%,obsese_adults_%,overweight_adults_%,diabetic_adults_%,heartrate_adult_%,poor_mental_health_%,smoking_rate_%,infant_rate_2014_per1000,hiv_density_per1000,firearm_deaths_2015_%,live_births_2014_%,gonorrhea_%,nonfatal_opiod_hospitalevents_%,hypertension_%,diagnosed_depression_%,anyexercise_%,suicide_deaths_%,risk_per1000,smokers_helpline_%,substanceuse_rate_AA,mentalhealth_hosp_rate,breast_cancer_sir,prostrate_cancer_sir,colorectal_cancer_sir,lung_cancer_sir,cervical_cancer_sir
Easthampton,53.6961631457679,1.3852519063223063,13.484663285304446,0.0010347225220453393,0.0290760812439588,0.01846866147877979,0.017094705488735776,-0.001773530162025666,0.0014061734785097144,-0.003687899679595708,-1.4314061247264944,0.4761201028417179,-5.039281196951185e-06,0.0017579573032296975,0.003492670334826875,-0.01868413411022185,-0.0003451111680911707,4.746638746438775e-05,0.016777492877492084,-0.038787938672255766,0.0075285466358569605,-0.002110214016607043,-5.114605689279983,-721.3622482414003,3.7720797720797776,6.2421652421652425,-53.10541310541311,-6.527065527065531,68.5954415954416
Easton,53.24204788101584,4.9150308915713765,18.3538156934754,-0.020765277477954647,0.020376081243958816,0.08446866147877974,-0.007905294511264233,-0.008773530162025672,0.0014061734785097144,-0.02068789967959569,-0.1468792167264943,0.8932446658417179,0.0001195635472872554,-0.0007965262356500876,0.003420902600232845,-0.04981914686207967,-0.00017871316809116734,-0.00019729461253561228,0.016477492877492117,0.022161144091000975,0.08342555769585695,-0.0011012204054237714,-63.614605689279976,195.10345175859985,-34.227920227920215,2.2421652421652425,-9.105413105413106,-26.52706552706553,6.595441595441599
Edgartown,-12.611752673029187,-36.54996954010592,-54.318154493588715,-0.00021571169156212044,0.011976081243958823,0.046468661478779705,0.005094705488735765,0.00022646983797433573,0.012406173478509723,0.03231210032040428,3.595953656273505,-1.0619082361582821,-0.00011517823675030327,0.003215313155160587,-0.001096472312889632,-0.2578718406664657,0.00027861183190883154,8.282538746438774e-05,-0.001222507122508043,0.14811630405405413,0.09588196028585697,0.0022252770516223647,-21.51460568927999,379.1524517585998,-25.227920227920226,-67.75783475783476,-26.105413105413103,-0.5270655270655311,-93.40455840455841
Egremont,-97.20321561317353,13.097917783837726,19.3938029065095,-0.019840440003397183,-0.037018528260217586,-0.02454016784053914,-0.045468089933952814,-0.0018193042471327664,0.07179363093802099,-0.022687899679595697,-3.7569875197264944,-1.9382920556840924,-0.0006772492017167287,-0.0029440868036894577,-0.008446415264089527,0.9158370795213278,-5.961316809117035e-05,0.00034737538746438656,-0.003922507122507968,0.14811630405405413,-0.18189581751414308,0.0017492468999286705,338.2240850738688,69.72858845556709,90.77207977207978,11.24216524216524,-70.1054131054131,37.47293447293447,67.5954415954416
Erving,-195.0497424928449,7.4258965310952165,11.960604135782932,0.11169927734084324,-0.0788276170013095,-0.035893456532376744,0.04543459408684498,-0.03081931784722813,0.008766704581768479,0.028908200151430637,-3.7569875197264944,0.8601658924844433,0.0001195635472872554,0.003971434165124046,0.004302588719974218,0.9158370795213278,0.00026349183190883287,0.0002170983874643876,0.0206774928774921,0.14811630405405413,-0.3009434365141431,-0.0016916337924024936,411.5898050025292,371.3386517585998,90.77207977207978,88.24216524216524,-24.105413105413103,19.47293447293447,68.5954415954416
Essex,-44.00901064450871,-47.02755957550739,-62.00272953264866,-0.05844641597756189,0.02597608124395881,0.0454686614787797,-0.0009052945112642402,0.0012264698379743295,-0.017593826521490274,-0.13053698584738013,7.232023470273505,-8.522407093664949,0.0001195635472872554,0.0006998133213325582,-0.005732670298197739,0.3733906461066274,0.0003210288319088293,0.00026283538746438767,-0.07482250712250804,0.14811630405405413,0.03919261788585695,-0.0016923704116765495,-114.24524895674948,-675.8222482414002,7.772079772079778,43.24216524216524,55.894586894586894,-41.52706552706553,-122.40455840455841
Everett,61.823669064222535,9.518881660646104,23.70329540934357,0.008634722522045363,-0.034223918756041166,-0.04753133852122027,-0.00890529451126422,-0.0077735301620256705,-0.03559382652149029,0.010312100320404305,-0.11873388172649425,-3.1154516651582824,7.518616200279636e-05,0.0063002706382919715,0.004302588719974218,-1.5692964964083786,-0.0006611191680911684,-0.00015503261253561277,-0.02332250712250794,0.08155022612736558,-0.05272343521414306,-0.0021238733818801023,-114.71460568927999,-439.01724824140024,2.7720797720797776,-0.7578347578347575,2.8945868945868938,-46.52706552706553,-188.4045584045584
Fairhaven,48.497225691463406,7.373797437075872,8.629141726362302,-0.06726527747795466,-0.012823918756041192,-0.053531338521220266,-0.02690529451126424,0.007226469837974334,-0.02959382652149028,-0.10268789967959573,-1.0021665827264945,-0.15051936115828202,0.0001195635472872554,-0.0016375333134180106,-0.0013705372361706065,-0.7414806155322162,-0.0007717561680911705,-0.00042213561253561345,-0.1266225071225079,-0.043112660759816346,0.013373709455856959,0.0012710475098297088,-85.81460568927999,168.69125175859972,-5.2279202279202215,-21.757834757834765,20.89458689458689,-32.52706552706553,-87.40455840455841
Fall River,66.36222110261619,10.164215374253844,25.03726376264744,-0.059865277477954636,-0.08052391875604117,-0.09753133852122033,-0.07790529451126423,0.015226469837974337,-0.060593826521490285,-0.041687899679595714,2.421572875273505,-1.191702366158282,0.00010821899040564721,0.0018305607680555848,0.003916873785999539,-2.1358487216312803,-0.0011687091680911673,-0.0007835176125356126,0.024077492877492057,-0.01070749228846074,-0.28802183251414304,-0.002019270264340694,-177.41460568928002,118.86835175859983,13.772079772079778,-8.757834757834758,-20.105413105413106,-41.52706552706553,-62.4045584045584
Falmouth,57.879562771778744,9.183026927232364,18.586204618170484,-0.027565277477954564,0.0209760812439588,-0.010531338521220237,-0.016905294511264227,0.019226469837974325,0.013406173478509724,-0.1426878996795957,2.134028680273506,0.4841920518417178,0.0001195635472872554,-0.0012239264797230876,0.001934841971571636,-1.387039894952416,-0.0004140581680911687,0.00010508638746438773,-0.06512250712250789,-0.04649301773245948,-0.011330515314143044,0.006684777070123956,-204.01460568928002,341.0505517585998,-20.227920227920226,-24.757834757834765,-2.1054131054131062,1.4729344729344689,13.5954415954416
