index,cancer_admissions_AA,cardio_admissions_AA,cardio_emergencies_AA,Diabetes_admissions_AA,Diabetes_emergencies_AA,Mental_admissions_AA,Mental_emergencies_AA,Stroke_admissions_AA,fruit_consump_%,obsese_adults_%,overweight_adults_%,diabetic_adults_%,heartrate_adult_%,poor_mental_health_%,smoking_rate_%,smoking_pregnant_%,infant_rate_2014_per1000,hiv_density_per1000,firearm_deaths_2015_%,live_births_2014_%,chlamydia_%,gonorrhea_%,syphillis_%,nonfatal_opiod_hospitalevents_%,hypertension_%,diagnosed_depression_%,anyexercise_%,suicide_deaths_%,risk_per1000,smokers_quitworks_%,smokers_helpline_%,substanceuse_rate_AA,mentalhealth_hosp_rate,breast_cancer_sir,prostrate_cancer_sir,colorectal_cancer_sir,lung_cancer_sir,cervical_cancer_sir
Tisbury,-176.1869799314733,-737.4449339207048,-611.5026921194321,,,-126.431718061674,-1012.4816446402347,-154.2584434654919,,,,,,,-0.196,-0.068,0.0,-4.192355117,-0.0,0.008565834557023984,-0.03915810083210964,-0.0019579050416054823,-0.0,-1.2236906510034262,-0.006673467,-0.003167823,0.83,-0.24473813020068524,-0.08503401361,0.003915810083210965,0.0007342143906020558,-128.1,-366.5881,-162.0,-116.0,-76.0,-77.0,-0.0
Tolland,-0.0,,,-0.0,-0.0,,,-0.0,,,,,,,,-0.0,100.0,,-0.0,0.006006006006006006,-0.0,-0.0,-0.0,-0.0,-0.0077079140000000015,-0.00237727,0.8253,,-0.0,0.0,0.0,,,-0.0,-1.0,-1.0,-1.0,-0.0
Topsfield,-47.49960808904217,-162.14140147358518,-48.01693055337827,,,-115.14343941056593,-295.2500391910958,-28.06082458065528,,-0.1906,-0.557,-0.073,0.039,-0.08800000000000001,,-0.0,0.0,-2.50823013,-0.00015676438313215238,0.006897632857814705,-0.018027904060197518,-0.001724408214453676,-0.0,-0.4702931493964572,-0.0071536069999999985,-0.0027567140000000013,0.8676999999999999,-0.0,-0.0,0.0007838219156607619,0.0009405862987929142,,-485.594,-90.0,-110.0,-58.0,-122.0,-0.0
Townsend,-49.558839162325924,-156.53236951206551,-54.83150845115339,,,-58.360795152545975,-183.95875411927287,-21.36706707770809,0.223,-0.2494,-0.605,-0.071,0.034,-0.098,-0.175,-0.106,0.0,,-0.0,0.008504305304560434,-0.014669926650366746,-0.000744126714149038,-0.0,-1.7008610609120869,-0.007252479000000002,-0.002650499,0.8721,-0.0,-0.055005500549999996,0.002763899223982141,0.001488253428298076,-128.4,-463.7119,-96.0,-68.0,-142.0,-98.0,-0.0
Truro,-210.8860759493671,-779.746835443038,-233.79746835443038,,,,-1697.9746835443038,-167.72151898734174,,,,,,,,-0.0,0.0,-7.9075425789999985,-0.0,0.0037974683544303796,-0.2740506329113924,-0.03164556962025317,-0.0,-0.6329113924050632,-0.007059829000000002,-0.0027619159999999997,0.8441,-0.0,-0.406504065,0.0031645569620253164,0.0012658227848101266,,-323.7743,-152.0,-44.0,-113.0,-38.0,-0.0
Tyngsborough,-20.87965990843689,-117.41334205362983,-19.056572923479397,,,-32.79103989535645,-127.5506867233486,-20.078482668410725,0.1805,-0.22899999999999998,-0.617,-0.085,0.027999999999999997,-0.114,-0.16699999999999998,-0.08199999999999999,2.93255132,-0.8296689620000001,-0.0,0.010055591890124263,-0.02076520601700458,-0.002207325049051668,-0.0009810333551340746,-0.16350555918901244,-0.00775011,-0.002534144,0.8419,-0.0,-0.07457121551,0.003760627861347286,0.0008175277959450621,-37.6,-354.0763,-83.0,-88.0,-89.0,-126.0,-0.0
Tyringham,,,,-0.0,-0.0,,-0.0,,,,,,,,,-0.0,0.0,,-0.0,0.002277904328018223,-0.0,-0.0,-0.0,,-0.0072911769999999985,-0.002476631,0.7956,-2.277904328018223,-0.0,0.0,0.0,,,-1.0,-1.0,-0.0,-1.0,-0.0
Upton,-29.68689601855431,-150.66357428166472,-42.391444401494645,-24.249452390155906,,-51.66859940729288,-179.28102048705063,-28.30820770519263,,-0.1744,-0.556,-0.06,0.033,-0.096,-0.11800000000000001,-0.042,0.0,,-0.0007730962504831851,0.006442468754026543,-0.02113129751320706,-0.0016750418760469012,-0.0011596443757247775,-0.12884937508053085,-0.007168675,-0.002873788,0.8339,-0.0,-0.07552870091,0.0020615900012884943,0.0006442468754026543,-73.3,-251.0198,-120.0,-78.0,-72.0,-94.0,-0.0
Uxbridge,-20.962349178659693,-107.3993312981538,-23.80433202500364,-5.269661287977904,,-40.267480738479435,-120.05378688762904,-16.862916121529288,0.2285,-0.2351,-0.608,-0.073,0.035,-0.10300000000000001,-0.142,-0.094,5.319148936,-0.729447808,-0.0,0.009739787759848816,-0.011847652275039977,-0.0003634249164122692,-0.0003634249164122692,-1.0902747492368077,-0.0075008409999999985,-0.002435123,0.8292,-0.07268498328245385,-0.04237288136,0.0021078645151911615,0.0007268498328245384,-140.4,-484.7701,-105.0,-117.0,-102.0,-101.0,-50.0
Wakefield,-15.797227363729082,-50.06988252181469,-14.947304801118117,-3.139047331243153,-2.1380274241680204,-31.239375967967373,-73.4181996751407,-9.572016771805236,0.1741,-0.2288,-0.596,-0.069,0.033,-0.084,-0.131,-0.035,1.154734411,-1.26161257,-0.0,0.010803460129188229,-0.006194991123031014,-0.0006421637139727267,-0.0002644203528122993,-1.850942469686096,-0.007744189,-0.0027048490000000005,0.8448,-0.03777433611604277,-0.035816618910000014,0.0016620707891058814,0.0009065840667850264,-128.2,-953.0404,-109.0,-82.0,-109.0,-95.0,-102.0
