index,cancer_admissions_AA,cardio_admissions_AA,cardio_emergencies_AA,Diabetes_admissions_AA,Diabetes_emergencies_AA,Mental_admissions_AA,Mental_emergencies_AA,Stroke_admissions_AA,fruit_consump_%,obsese_adults_%,overweight_adults_%,diabetic_adults_%,heartrate_adult_%,poor_mental_health_%,smoking_rate_%,smoking_pregnant_%,infant_rate_2014_per1000,hiv_density_per1000,firearm_deaths_2015_%,live_births_2014_%,chlamydia_%,gonorrhea_%,syphillis_%,nonfatal_opiod_hospitalevents_%,hypertension_%,diagnosed_depression_%,anyexercise_%,suicide_deaths_%,risk_per1000,smokers_quitworks_%,smokers_helpline_%,substanceuse_rate_AA,mentalhealth_hosp_rate,breast_cancer_sir,prostrate_cancer_sir,colorectal_cancer_sir,lung_cancer_sir,cervical_cancer_sir
Brookfield,1.511008342,0.5575155463,0.3826426959,,,0.03696377878,0.5522044089,4.270308237,-0.1889937568,0.6894225158,0.8760654654,0.5222298058,0.2572279968,0.9891431651,1.65109855,0.2759346296,-0.4750529212,0.03764190497,0.6631044316,0.4306618929,0.2321337905,2.225232948,-0.126837945,-1.257898076,-0.2770827408,-0.4157222474,2.299742491,0.5758647929,1.427542666,7.496451278,5.263750265,,0.8083534504,-0.2896444755,-0.0853442539,0.6361267348,1.189063805,-0.9139486493
Brookline,-0.6675360613,-0.5281435037,-0.5254916693,-0.4187482484,-0.6212191662,-0.3947741643,-0.5110692725,-0.7918814603,3.805869751,-2.780831093,-3.842866787,-2.01346215,-1.523316801,-1.436243132,0.6606315108,0.8656024919,-0.4750529212,0.04821850071,-0.2448892329,0.9122994378,-0.1043968902,-0.2007388057,-0.1210750621,-0.866618012,-0.8676637967,2.288927615,0.1449154807,-0.3177275895,-0.8053792423,-0.240953691,-0.2625340735,-1.659449582,-0.277134284,0.3556782067,0.2831809339,-0.6309894022,-0.4666023619,-0.7540636258
Buckland,,,,-0.4880062904,-0.7271671657,,,,,,,,,,-1.870562035,-1.038182321,-0.4750529212,,-0.2448892329,-0.4042373523,0.05022855663,1.115969039,-0.126837945,-1.257898076,-2.62047641,-1.450159945,0.941202548,-0.5055196414,-0.8491443312,0.6481080941,1.438285042,,,0.5438973224,0.6253828939,1.099111477,-0.546715241,-0.9006248973
Burlington,-0.4857845248,-0.4390822792,-0.468611032,-0.04089745046,-0.351570972,-0.3718208486,-0.4477616064,-0.6068182091,0.7219844637,0.4105149614,-0.4460491744,0.584075951,-0.03952946944,-0.5073717845,0.5946003748,0.713973613,0.2524796957,0.02460539259,-0.185734339,0.7802128152,-0.1063123859,-0.2368314864,-0.09440832774,-0.01449465011,-0.1937529155,-0.1957887297,2.062854223,0.05808941439,-0.5811362745,-0.2451687022,-0.2729398703,-0.7517237277,-0.6076274032,0.5170088773,0.3358273893,0.02693628431,0.1743006703,-0.2211135475
Cambridge,-0.7418659147,-0.5435701452,-0.5265492687,-0.4331809213,-0.6049378285,-0.4049180054,-0.4904605824,-0.8494594762,0.4718388048,-2.931012084,-3.578443859,-2.199000586,-3.007104132,-0.3525598932,-0.9461261314,-0.7012292565,-0.1767550131,0.3304491092,-0.2448892329,,-0.104303734,-0.2299511676,-0.1153617729,-0.1945289638,-1.720859498,1.786323872,-0.7541183049,-0.006895615528,-0.7377302433,-0.2339724387,-0.2607829377,-0.5362712876,0.4496965126,0.05990531072,0.3095041616,-0.1436370418,-0.3063766039,-0.02125726808
Canton,-0.4812098439,-0.4324887604,-0.4299800376,-0.0496546778,-0.3697432261,-0.271001878,-0.4170467835,-0.5805097907,-1.245579152,0.9227394122,0.7743643393,1.697306566,1.147500395,0.06027181707,-1.364323326,-0.8865534418,-0.1127458472,-0.07497331043,-0.1763549379,0.9971321668,-0.08196826435,0.01175129626,-0.1080521709,-0.297529215,0.9663946758,1.090372155,0.7499794888,-0.01578988225,-0.6316764448,0.04014334063,0.07983527636,-0.8347258973,0.2517533716,0.140570646,0.2831809339,0.1731419924,0.4146393075,0.258541523
Carlisle,0.6650071812,-0.1201980993,-0.055001024,,-0.7271671657,-0.07361469786,-0.1322970202,,,,,-0.3436162279,0.2572279968,-0.7137876396,-1.188240297,-0.8023151757,-0.4750529212,,0.05399201503,-1.559538014,-0.0486794979,0.03682004764,-0.126837945,-1.257898076,-2.775903629,-1.821278229,0.3989282011,-0.5055196414,-0.8491443312,0.2608697322,0.176766401,,-0.6802678112,0.05990531072,0.7306758047,-0.314210368,-1.267731152,-0.9139486493
Carver,-0.07262609042,-0.2353435453,-0.1906432869,0.8719820225,0.8260623636,-0.2629708643,-0.1883877765,-0.1840126108,-1.13730715,0.5151052943,0.8760654654,0.02746064365,0.1088492637,0.1634797446,,-1.122420587,-0.4750529212,-0.1912065845,-0.2448892329,-0.09054875718,-0.09368456373,-0.1713196595,-0.09769879106,2.815379305,1.231809201,0.7544203856,0.1135206501,-0.5055196414,-0.2253063688,-0.2408923891,-0.2308475885,2.142756185,-0.3502732875,-0.4240867009,0.2831809339,-0.07053418777,1.269176684,-0.1678185396
Charlemont,,1.996423157,,,,,1.538835812,,,,,,,,0.3744965882,0.7813642259,-0.4750529212,,1.144504676,-0.1169029871,0.09366248157,0.2035142253,-0.126837945,-1.257898076,-1.133409534,-1.279689298,-0.3031743743,9.42275853,3.481025054,0.5300500579,1.487503456,,0.5955506774,1.054777779,-2.322818608,1.367155275,-1.000688222,-0.9006248973
Charlton,-0.2924307859,-0.3971486177,-0.3869177613,0.0791375712,0.239681629,-0.2859081024,-0.3534721136,-0.3228124029,0.8041218442,0.4185603716,0.3472196095,0.1511529342,-0.6330444019,-0.6621836758,,2.819930264,0.2454323712,-0.1241586874,-0.1283275792,0.4427207305,-0.06103688908,-0.2368314864,-0.126837945,-0.2370388968,0.3183060424,0.542323039,0.2790570297,-0.2278790304,-0.2872139529,-0.2343303215,-0.2360172626,-0.5186112515,-0.4561585881,0.2212359813,-0.7960714017,-0.2167398959,0.6015693585,0.4850453063
