\,exp_perpupil_USD,preschool_%,students_disabilities_%,students_highneeds_%,student_teacher_ratio,libraries_%,exemplary_%,proficient_%,need_improve_%,unsatis_%,read_write,math,dropout_%,college_%,avg_ela,avg_math,less_than_highschool_%,highschool_grad_%,associates_degree_%,bachelors_degree_%,public_school_%,private_school_%,lep_%,students_econodisadv_%
read_write,0.1068276627831649,0.07470573693410151,-0.21100534048168781,-0.14276188207944718,-0.004946267400709867,-0.038460652476538584,-0.020813919625447402,-0.03462421664984965,-0.1062311753709549,0.08218295922801931,1.0,0.9047292241263615,0.5263763273162119,0.4822282463136055,0.236756466000624,0.27164817459994534,-0.5163687290332345,-0.5220194585765148,-0.4065063306887762,0.5784303018421452,0.05092430021144056,0.19031228841917439,0.3240521276461695,-0.19700116114222474
math,0.12949257718644183,0.06979023800357187,-0.21392729325438722,-0.09490522195614985,-0.023431216478211402,-0.056375753460641026,-0.09648820174642807,-0.01778877964718836,-0.1412737270204233,0.07302987916710427,0.9047292241263615,1.0,0.5475325811665164,0.4910245492682204,0.17051787061716478,0.2250861287538542,-0.48216837638750837,-0.5373626122101446,-0.44609278871410624,0.5942764399996388,0.06068162946313238,0.21332134006929465,0.2353185519692799,-0.17506066411341287
dropout_%,-0.12277668586384816,0.026565979728096795,-0.1957317445667919,-0.0521514200937021,0.06061863110951831,0.05465718953672935,0.048435495518903894,-0.1820241875933306,-0.13593073685273033,-0.0054044896189286065,0.5263763273162119,0.5475325811665164,1.0,0.4747810179954747,0.15361697302492194,0.16610787178774944,-0.47351969821841616,-0.34707201743005156,-0.22441912915979303,0.39846553386650646,0.06631813841828219,0.08856603666313305,0.33546356819938455,-0.07830971121190448
college_%,0.006117830210288207,0.17094503611786324,-0.30177364946397406,-0.21263040824261684,-0.059156589113965305,-0.09252704660459617,-0.025333659584511125,0.01201844545517257,-0.02580499861672709,0.02717637459336643,0.4822282463136055,0.4910245492682204,0.4747810179954747,1.0,0.20507578948130922,0.2376035912804998,-0.40206209510132324,-0.4297513776644742,-0.36928818498409627,0.48437260056632386,0.16859995565964514,0.19786985371584845,0.2278667494155523,-0.2805142017624959
avg_ela,0.04317979439554473,-0.034486689204250506,-0.07736001641633433,-0.2606264158052253,0.09794308723995669,0.03875176683500395,0.2101625720724701,-0.07814733683085742,0.130172586599653,-0.029489843001888304,0.236756466000624,0.17051787061716478,0.15361697302492194,0.20507578948130922,1.0,0.7318147469427567,-0.1992221998578599,-0.18239800943857587,-0.20867016773017646,0.23349873620218597,-0.04699768213251148,0.08563755720895426,0.13569732209160315,-0.36376812403547654
avg_math,0.03340432644714998,-0.007517195999027004,-0.10723008978962383,-0.27924284774190744,-0.05787233712742174,-0.02969659051891733,0.02610829016898058,-0.014811668547648137,0.04892836054350184,-0.04399785656736004,0.27164817459994534,0.2250861287538542,0.16610787178774944,0.2376035912804998,0.7318147469427567,1.0,-0.21524067326959914,-0.22921144433469315,-0.17266551883159276,0.248795104639172,-0.050641011834151525,0.10721530854510933,0.12313021104033195,-0.4544560757991031
less_than_highschool_%,-0.10333078915466629,-0.034393963167891076,0.18011966928415993,0.2529500155799508,-0.054222498676695215,-0.07958837636726337,-0.034203718557108444,0.0023323526400241368,0.023540882491782385,-0.0562227830230657,-0.5163687290332345,-0.48216837638750837,-0.47351969821841616,-0.40206209510132324,-0.1992221998578599,-0.21524067326959914,1.0,0.5005067607486313,0.2121596345038292,-0.6085335243119324,0.03924456603565825,-0.15540101412913146,-0.68430475341291,0.23654054928742024
highschool_grad_%,-0.2614232900393009,-0.17766419533176397,0.19464318238484454,0.21931772621547646,0.023002002565439987,0.168075464831391,0.042947134940573325,-0.013648398475893145,0.010793604976685434,0.017373460891976795,-0.5220194585765148,-0.5373626122101446,-0.34707201743005156,-0.4297513776644742,-0.18239800943857587,-0.22921144433469315,0.5005067607486313,1.0,0.6698701361466255,-0.9432441817165103,-0.19311602330354385,-0.4764637719791799,-0.0809259748089499,0.1995705944361582
associates_degree_%,-0.3211730273788617,-0.1586599606956731,0.15739490058136518,0.146608703614657,-0.07968797578660598,0.14019264435924192,0.020750341910059537,-0.022303874364952507,-0.0018042935793907285,-0.008355580078717732,-0.4065063306887762,-0.44609278871410624,-0.22441912915979303,-0.36928818498409627,-0.20867016773017646,-0.17266551883159276,0.2121596345038292,0.6698701361466255,1.0,-0.822467790061638,-0.14141282824886184,-0.47881995751719386,0.13957620805534507,0.14551047706249978
bachelors_degree_%,0.29835311927089003,0.16996623199399824,-0.21493414981486803,-0.24224586721423447,0.03274840679059828,-0.1290207492084036,-0.023483646239418402,0.015881438135899435,-0.011053894029908942,0.007727939867627823,0.5784303018421452,0.5942764399996388,0.39846553386650646,0.48437260056632386,0.23349873620218597,0.248795104639172,-0.6085335243119324,-0.9432441817165103,-0.822467790061638,1.0,0.1532959046419751,0.4928688272776627,0.1582129982803949,-0.22686734121564686
public_school_%,-0.2156253605735636,0.019107282910239252,-0.03776744924852893,-0.025881986753803977,-0.19508789827482395,-0.19249749652931378,-0.03711042576076434,0.02251963126342048,-0.023775029071005753,0.009454234384404344,0.05092430021144056,0.06068162946313238,0.06631813841828219,0.16859995565964514,-0.04699768213251148,-0.050641011834151525,0.03924456603565825,-0.19311602330354385,-0.14141282824886184,0.1532959046419751,1.0,0.06066210463737331,-0.11563282562112907,0.02606876187044846
private_school_%,0.21074380958735595,-0.04834466316305596,-0.02631885874786124,-0.10862805535026983,-0.085906309390726,-0.18349502839212256,-0.10434037133440659,0.061326804685700384,-0.009095825709901547,-0.01915193456128639,0.19031228841917439,0.21332134006929465,0.08856603666313305,0.19786985371584845,0.08563755720895426,0.10721530854510933,-0.15540101412913146,-0.4764637719791799,-0.47881995751719386,0.4928688272776627,0.06066210463737331,1.0,-0.10664224143656545,-0.13473803699384598
lep_%,0.021603089507798476,0.027374025329479773,-0.048878044598978765,-0.1705007702533368,0.1540149060486104,0.22654203424425945,0.08977114503766143,-0.06616848996454784,-0.004566563350739284,0.008272724701833392,0.3240521276461695,0.2353185519692799,0.33546356819938455,0.2278667494155523,0.13569732209160315,0.12313021104033195,-0.68430475341291,-0.0809259748089499,0.13957620805534507,0.1582129982803949,-0.11563282562112907,-0.10664224143656545,1.0,-0.14200502693658854
students_econodisadv_%,-0.08662108652630802,-0.04971117183119688,0.12603238428194882,0.8641916008759074,0.23697935809869164,0.1174015523232089,-0.10813953581638534,0.06785055606543537,0.006023867811547756,-0.039262492269346826,-0.19700116114222474,-0.17506066411341287,-0.07830971121190448,-0.2805142017624959,-0.36376812403547654,-0.4544560757991031,0.23654054928742024,0.1995705944361582,0.14551047706249978,-0.22686734121564686,0.02606876187044846,-0.13473803699384598,-0.14200502693658854,1.0
