\,house_noplumbing_%,house_nokitchen_%,house_lt1939_%,house_1940to1999_%,house_2000to2014_%,median_owner_home_USD,median_sale_homes_USD,house_income_gt30_USD_%,gross_rent_%,property_val_USD,costas%income_wmgage_lt20%_%,costas%income_wmgage_20to25%_%,costas%income_wmgage_25to30%_%,costas%income_wmgage_30to35%_%,costas%income_wmgage_gt35%_%,costas%income_womgage_lt10%_%,costas%income_womgage_10to15%_%,costas%income_womgage_15to20%_%,costas%income_womgage_20to25%_%,costas%income_womgage_25to30%_%,costas%income_womgage_30to35%_%,costas%income_womgage_gt35%_%,homeless_Shelters_per_1000,moved_lastyear_%,renter_occupied_%,vacant_rentals_%,owner_homes_%,occ_lt0.5_%,occ_0.5to1.0_%,occ_1.01to1.5_%,occ_1.51to2.0_%,occ_gt2.01_%
costas%income_wmgage_lt20%_%,-0.054992097118947404,-0.18474871577489946,-0.14823748085590902,0.15197375751339126,0.037021276053668124,-0.03691132596467965,-0.009936470843293464,-0.4545327318162062,-0.28994003302397453,-0.013875291145316469,0.9999999999830109,-0.07304340527501924,-0.23983868216501547,-0.32096465017633796,-0.6882407959808595,0.24985587597705416,0.1044480996615078,-0.0905503336015789,-0.0668023403087319,-0.14167396154935788,-0.08145320677404357,-0.24132979080764186,-0.07909428710336817,0.01948316000474709,-0.2359006567426981,-0.06535926609918781,0.2021561115471176,0.12889481322728577,-0.11069014090127788,-0.17170348967260554,-0.09194639218733708,-0.013885073211366112
costas%income_wmgage_20to25%_%,-0.19944469009109164,-0.2077625977699344,-0.0443784536660204,0.050589074570412174,-0.009073611107560962,-0.11629005569896095,-0.12241411122789081,-0.23477568821582548,-0.13563375440226486,0.02300111358988465,-0.07304340527501924,1.0000000000652576,-0.12932236847854486,-0.00039340127932891355,-0.4525139469194875,-0.011143224660045763,-0.008523532951423626,0.038952381421313305,-0.03786214864359373,0.13851071626394132,0.011313247007575338,-0.0781647119472686,0.009854394707000204,-0.055452707302559814,0.004053251604181636,0.07149599313866409,0.04452987621672951,-0.1330634866958256,0.1682219879341647,-0.11260081718348561,-0.07472861327490737,0.016426748808114146
costas%income_wmgage_25to30%_%,0.019511324396110547,-0.009387712857255993,0.012563975598597317,-0.05081589823895953,0.07772915929099518,-0.1221083836725945,-0.08916392603896062,-0.17648022955430467,-0.011411027607503527,0.023874462073722357,-0.23983868216501547,-0.12932236847854486,1.0000000000487663,-0.1711660189658771,-0.11443393093608452,-0.02361610318412132,-0.009254627845617584,0.08689080812718344,0.07502267114533619,-0.11344795637338662,-0.014228797561589401,-0.00153644213800535,0.023254475729854833,-0.014989444165690645,0.06889039304324372,0.03220785497428004,-0.05028945178590528,-0.08025254124972749,0.0807296213244533,0.07391089210237406,-0.04816543700692637,0.013702093003902639
costas%income_wmgage_30to35%_%,-0.050334075145275596,-0.046504992253903865,0.06749364053633354,-0.035612994494896286,-0.08772840994410659,-0.08841015322619608,-0.04278483459055287,0.2934051487154988,0.18918856157725225,-0.03794104806592254,-0.32096465017633796,-0.00039340127932891355,-0.1711660189658771,1.00000000000512,-0.0061316573719381595,-0.1706786280102762,0.029512389323430546,0.08065375532388509,0.144215292319049,-0.045879554785914864,0.01089761131981789,0.08728148878850259,-0.03674028457970079,-0.0012684165582349494,0.0599102256177127,0.049995051433626966,-0.06537359191953498,-0.08383635341188465,0.08554929467551739,0.03264776690274264,0.0642551693382341,-0.027812314930788565
costas%income_wmgage_gt35%_%,0.1819854964503125,0.32703127654845454,0.13744009228026988,-0.13887435367426618,-0.0334413908051325,0.2012999204163769,0.14311346641796135,0.5521876435383818,0.29352553168011136,0.0034645594115960865,-0.6882407959808595,-0.4525139469194875,-0.11443393093608452,-0.0061316573719381595,1.00000000000555,-0.15775244151263695,-0.1042664446859768,-0.009808561773516392,-0.007893940348292494,0.13231071705683375,0.07578310851845083,0.24770857536782284,0.07452151796624461,0.021375847059012344,0.17037233085161083,-0.01394573384498305,-0.1728253159192461,0.02571967115793297,-0.06516258445228669,0.18408579138340717,0.13220880771131635,0.009191444128042823
costas%income_womgage_lt10%_%,0.12116018864410169,0.09156315430214033,-0.11657505139634933,0.05930109414742759,0.18164669187357302,0.1526167698915506,0.11218221379443512,-0.15344223623075565,-0.04229497628944636,-0.00912848924134293,0.24985587597705416,-0.011143224660045763,-0.02361610318412132,-0.1706786280102762,-0.15775244151263695,0.9999999999910875,-0.39029332964171104,-0.27483923675323557,-0.27999328774288673,-0.2984343763256734,-0.2400314841065244,-0.3777271350944127,-0.1175023196011318,-0.09731629079795905,-0.14576303872868088,-0.0687030019348655,0.12884672380508513,0.15039474903265526,-0.13453934621253463,-0.12658771184709106,-0.11905119040104656,-0.08851108822619617
costas%income_womgage_10to15%_%,-0.09455765024484038,-0.1683489543858097,-0.03925754878264516,0.0829806735325837,-0.08673148573572188,-0.1392813350532966,-0.04829587243878625,0.04668421700680555,-0.032375199229949886,-0.0332794472054916,0.1044480996615078,-0.008523532951423626,-0.009254627845617584,0.029512389323430546,-0.1042664446859768,-0.39029332964171104,1.0000000000210305,-0.23944169495440268,0.041265244976691456,0.004905449875102614,-0.006588681415026423,-0.2872008472209867,-0.013172232331434284,0.044460202453243905,-0.08635060737995534,-0.040635253009984065,0.08331532543089933,0.0033883708743918843,-0.0035118916946115953,0.008014758535621065,-0.01780772699669663,-0.002881904685652175
costas%income_womgage_15to20%_%,0.03264721177939609,0.019214436062849224,-0.04187065224943824,0.03817711265576925,0.015847150537547726,-0.2084996540933967,-0.2086651699606337,-7.866411825544643e-05,-0.02214413357959637,0.014438866282365318,-0.0905503336015789,0.038952381421313305,0.08689080812718344,0.08065375532388509,-0.009808561773516392,-0.27483923675323557,-0.23944169495440268,0.9999999999892561,-0.1061522614873446,-0.10753038097074036,-0.05663725912888723,-0.05648457528242454,-0.03278279068328568,-0.007060204299192969,0.02939392402586027,-0.016332720394922434,-0.04210917600530402,-0.1285684786575861,0.12627624244162308,0.07827559802780208,0.046749896124469816,0.026974409744710236
costas%income_womgage_20to25%_%,0.0025446513965487736,-0.07696810521567365,0.14134807306836578,-0.0951763942283773,-0.16275649569157616,-0.15383218542216523,-0.15343329087467547,0.03280050347240543,0.051200607849622964,-0.02433546302307119,-0.0668023403087319,-0.03786214864359373,0.07502267114533619,0.144215292319049,-0.007893940348292494,-0.27999328774288673,0.041265244976691456,-0.1061522614873446,0.9999999999928282,-0.10910620934256861,-0.1474701803974721,-0.02759855777321544,0.03362898302159406,-0.06921467325247835,0.05129924995540113,0.08359396506308037,-0.036069917899818206,-0.03808157994472047,0.03751869557301995,0.0030236970304359165,-0.014716308352894553,0.0841751825373576
costas%income_womgage_25to30%_%,-0.10942380655731818,-0.06667395572008815,0.018456447809120504,-0.013460528147363432,-0.01763986452341678,-0.06380144185584809,-0.02360929200175931,0.0823472998843977,-0.0005437148439424431,-0.08320883459678365,-0.14167396154935788,0.13851071626394132,-0.11344795637338662,-0.045879554785914864,0.13231071705683375,-0.2984343763256734,0.004905449875102614,-0.10753038097074036,-0.10910620934256861,1.0000000000434108,0.0770495124009293,-0.04185889445931712,0.06441439457038722,0.08708202519445142,0.044725204976259696,-0.03963528292738159,-0.045180077107301375,-0.017764219764808308,0.009531297824983067,0.020856423592130798,0.09792820713868411,0.005369079007251826
costas%income_womgage_30to35%_%,-0.11943248152781791,-0.07345611169363357,0.05473445455189851,-0.053664980556807525,-0.015147724028349649,-0.03648523754129115,-0.010392628234448016,0.017357346104977443,-0.10130932890542241,0.059223937340992995,-0.08145320677404357,0.011313247007575338,-0.014228797561589401,0.01089761131981789,0.07578310851845083,-0.2400314841065244,-0.006588681415026423,-0.05663725912888723,-0.1474701803974721,0.0770495124009293,1.0000000000233018,-0.03187321629041712,0.19899600105132623,0.07376780787596071,0.11406934018076074,0.1211763000378469,-0.10651897896924664,-0.1188818910256761,0.10680748325000022,0.09650612437566408,0.09588988413262185,0.06896257708597262
