index,BE,CC,ECON,EDU,EMP,HEA,HOU,VIO,AVG
Pittsfield,0.89,0.5,0.32,0.42,0.28,0.26,0.09,0.8,0.44
Plainfield,0.9,0.96,0.16,0.44,0.56,0.0,0.12,0.93,0.51
Plainville,0.94,0.51,0.19,0.45,0.69,0.2,0.21,0.89,0.51
Plymouth,0.88,0.53,0.22,0.43,0.55,0.19,0.18,0.87,0.48
Plympton,0.89,0.89,0.13,0.49,0.54,0.0,0.19,0.89,0.5
Princeton,0.96,0.95,0.13,0.72,0.6,0.0,0.19,0.88,0.55
Provincetown,0.61,0.97,0.37,0.5,0.18,0.1,0.33,0.83,0.49
Quincy,0.42,0.43,0.18,0.43,0.48,0.27,0.22,0.86,0.41
Randolph,0.8,0.4,0.21,0.42,0.05,0.12,0.19,0.84,0.38
Raynham,0.89,0.48,0.22,0.43,0.46,0.28,0.16,0.85,0.47
Reading,0.79,0.47,0.2,0.44,0.65,0.18,0.27,0.89,0.49
Rehoboth,0.94,0.88,0.13,0.43,0.77,0.1,0.18,0.88,0.54
Revere,0.39,0.45,0.18,0.42,0.41,0.16,0.17,0.86,0.38
Richmond,0.94,0.94,0.09,0.57,0.63,0.0,0.17,0.78,0.52
Rochester,0.96,0.91,0.23,0.45,0.62,0.0,0.17,0.88,0.53
Rockland,0.88,0.47,0.27,0.42,0.68,0.05,0.18,0.89,0.48
Rockport,0.75,0.53,0.14,0.6,0.5,0.08,0.72,0.89,0.53
Rowe,0.86,0.96,0.11,0.92,0.81,0.0,0.09,0.94,0.59
Rowley,0.83,0.6,0.19,0.39,0.52,0.15,0.33,0.85,0.48
Royalston,0.94,0.95,0.2,0.55,0.49,0.0,0.08,0.92,0.52
Russell,0.96,0.79,0.2,0.79,0.65,0.0,0.08,0.87,0.54
Rutland,0.97,0.74,0.4,0.71,0.63,0.04,0.18,0.86,0.57
Salem,0.68,0.45,0.27,0.41,0.5,0.21,0.19,0.84,0.44
Salisbury,0.88,0.54,0.6,0.27,0.41,0.1,0.13,0.8,0.47
Sandisfield,0.92,0.96,0.1,0.56,0.54,0.0,0.13,0.88,0.51
Sandwich,0.95,0.49,0.17,0.42,0.55,0.17,0.19,0.87,0.48
Saugus,0.83,0.48,0.19,0.42,0.33,0.15,0.22,0.87,0.44
Savoy,0.96,0.95,0.14,0.39,0.51,0.0,0.07,0.87,0.49
Scituate,0.73,0.51,0.29,0.44,0.49,0.13,0.31,0.96,0.48
Seekonk,0.92,0.52,0.24,0.44,0.55,0.21,0.25,0.81,0.49
Sharon,0.63,0.49,0.26,0.45,0.57,0.19,0.32,0.88,0.47
Sheffield,0.9,0.96,0.07,0.29,0.68,0.09,0.17,1.0,0.52
Shelburne,0.89,0.96,0.0,0.15,0.38,0.15,0.12,0.89,0.44
Sherborn,0.78,0.79,0.16,0.48,0.79,0.14,0.44,0.88,0.56
Shirley,0.9,0.59,0.27,0.35,0.61,0.08,0.17,0.89,0.48
Shrewsbury,0.91,0.44,0.22,0.43,0.59,0.15,0.18,0.89,0.48
Shutesbury,0.95,0.95,0.16,0.53,0.57,0.0,0.16,0.79,0.51
Somerset,0.96,0.49,0.18,0.42,0.32,0.06,0.12,0.86,0.43
Somerville,0.15,0.45,0.17,0.43,0.59,0.15,0.23,0.88,0.38
South Hadley,0.82,0.47,0.48,0.44,0.44,0.08,0.14,0.88,0.47
Southampton,0.96,0.86,0.14,0.45,0.44,0.19,0.23,0.89,0.52
Southborough,0.9,0.46,0.18,0.48,0.62,0.12,0.28,0.88,0.49
Southbridge,0.88,0.51,0.45,0.43,0.25,0.14,0.1,0.8,0.45
Southwick,0.94,0.7,0.19,0.44,0.57,0.15,0.12,0.86,0.5
Spencer,0.9,0.64,0.21,0.41,0.58,0.1,0.11,0.87,0.48
Springfield,0.8,0.42,0.83,0.4,0.0,0.14,0.08,0.78,0.43
Sterling,0.95,0.76,0.25,0.61,0.5,0.11,0.14,0.88,0.52
Stockbridge,0.81,0.96,0.09,0.48,0.6,0.27,0.17,0.84,0.53
Stoneham,0.83,0.48,0.21,0.44,0.64,0.31,0.23,0.88,0.5
Stoughton,0.81,0.46,0.26,0.42,0.43,0.28,0.18,0.86,0.46
Stow,0.91,0.65,0.24,0.15,0.69,0.04,0.31,0.89,0.48
Sturbridge,0.95,0.69,0.33,0.44,0.69,0.16,0.14,0.79,0.52
Sudbury,0.89,0.48,0.15,0.44,0.67,0.4,0.52,0.88,0.55
Sunderland,0.67,0.9,0.08,0.46,0.75,0.08,0.17,0.89,0.5
Sutton,0.94,0.64,0.36,0.43,0.65,0.03,0.08,0.86,0.5
Swampscott,0.73,0.48,0.19,0.43,0.59,0.4,0.15,0.89,0.48
Swansea,0.98,0.58,0.15,0.42,0.62,0.15,0.13,0.88,0.49
Taunton,0.93,0.49,0.31,0.4,0.45,0.12,0.15,0.86,0.46
Templeton,0.98,0.72,0.72,0.78,0.57,0.0,0.18,0.87,0.6
Tewksbury,0.92,0.48,0.43,0.42,0.58,0.2,0.25,0.84,0.52
Tisbury,0.73,0.94,0.06,0.48,0.44,0.5,0.27,0.86,0.54
Tolland,0.94,0.96,0.18,0.7,0.78,0.0,0.02,0.88,0.56
Topsfield,0.95,0.55,0.15,0.45,0.69,0.28,0.31,0.89,0.53
Townsend,0.95,0.71,0.15,0.77,0.67,0.1,0.22,0.9,0.56
Truro,0.9,0.98,0.15,0.55,0.61,0.17,0.43,0.88,0.58
Tyngsborough,0.95,0.48,0.17,0.43,0.59,0.17,0.25,0.85,0.49
Tyringham,0.79,0.98,0.05,0.42,0.17,0.0,0.43,0.8,0.46
Upton,0.94,0.66,0.24,0.45,0.5,0.08,0.23,0.84,0.49
