index,BE,CC,ECON,EDU,EMP,HEA,HOU,VIO,AVG
Hanover,0.87,0.86,0.82,0.84,0.7,0.87,0.7,0.8,0.81
Hanson,0.89,0.89,0.84,0.7,0.58,0.94,0.69,0.76,0.79
Hardwick,0.91,0.89,0.69,0.59,0.38,0.97,0.71,0.51,0.71
Harvard,0.88,0.82,0.86,0.9,0.51,0.94,0.62,0.8,0.79
Harwich,0.9,0.87,0.78,0.69,0.6,0.89,0.74,0.68,0.77
Hatfield,0.82,0.92,0.84,0.78,0.66,0.85,0.55,0.85,0.78
Haverhill,0.85,0.69,0.57,0.43,0.6,0.85,0.45,0.53,0.62
Hawley,0.75,0.92,0.77,0.63,0.72,0.99,0.73,0.75,0.78
Heath,0.93,0.89,0.46,0.25,0.63,0.96,0.74,0.71,0.7
Hingham,0.81,0.85,0.86,0.96,0.85,0.82,0.69,0.76,0.82
Hinsdale,0.9,0.93,0.74,0.7,0.46,0.97,0.61,0.79,0.76
Holbrook,0.87,0.81,0.71,0.54,0.61,0.95,0.59,0.67,0.72
Holden,0.93,0.86,0.84,0.79,0.78,0.91,0.68,0.84,0.83
Holland,0.93,0.92,0.84,0.66,0.52,0.99,0.73,0.73,0.79
Holliston,0.9,0.84,0.88,0.87,0.83,0.93,0.75,0.86,0.86
Holyoke,0.83,0.55,0.03,0.09,0.46,0.7,0.36,0.0,0.38
Hopedale,0.85,0.84,0.8,0.73,0.74,0.93,0.76,0.8,0.81
Hopkinton,0.86,0.83,0.95,0.93,0.88,0.91,0.79,0.84,0.87
Hubbardston,0.96,0.92,0.85,0.75,0.74,0.96,0.72,0.87,0.85
Hudson,0.92,0.79,0.76,0.66,0.71,0.94,0.59,0.8,0.77
Hull,0.8,0.87,0.79,0.65,0.63,0.97,0.69,0.68,0.76
Huntington,0.93,0.81,0.67,0.52,0.57,0.9,0.7,0.69,0.72
Ipswich,0.88,0.9,0.78,0.84,0.77,0.92,0.63,0.8,0.82
Kingston,0.93,0.87,0.78,0.75,0.72,0.88,0.56,0.71,0.78
Lakeville,0.93,0.89,0.82,0.74,0.64,0.91,0.74,0.8,0.81
Lancaster,0.94,0.84,0.83,0.6,0.33,0.94,0.56,0.72,0.72
Lanesborough,0.9,0.94,0.79,0.72,0.67,0.95,0.71,0.69,0.8
Lawrence,0.66,0.1,0.03,0.02,0.31,0.81,0.16,0.19,0.29
Lee,0.89,0.85,0.75,0.63,0.54,0.8,0.63,0.64,0.72
Leicester,0.93,0.87,0.77,0.63,0.61,0.94,0.77,0.68,0.77
Lenox,0.8,0.9,0.77,0.85,0.65,0.69,0.77,0.66,0.76
Leominster,0.87,0.73,0.57,0.49,0.57,0.76,0.39,0.42,0.6
Leverett,0.84,0.91,0.8,0.86,0.85,0.95,0.77,0.84,0.85
Lexington,0.8,0.72,0.87,0.93,0.92,0.8,0.66,0.79,0.81
Leyden,0.91,0.95,0.82,0.71,0.71,1.0,0.84,0.85,0.85
Lincoln,0.79,0.77,0.88,0.89,0.96,0.93,0.72,0.79,0.84
Littleton,0.9,0.85,0.82,0.88,0.74,0.92,0.76,0.77,0.83
Longmeadow,0.9,0.82,0.85,0.9,0.85,0.85,0.78,0.77,0.84
Lowell,0.78,0.51,0.32,0.33,0.45,0.82,0.29,0.49,0.5
Ludlow,0.92,0.81,0.77,0.58,0.47,0.89,0.6,0.69,0.72
Lunenburg,0.93,0.86,0.75,0.71,0.72,0.93,0.65,0.7,0.78
Lynn,0.65,0.34,0.32,0.23,0.48,0.89,0.23,0.54,0.46
Lynnfield,0.92,0.87,0.91,0.84,0.82,0.9,0.74,0.8,0.85
Malden,0.58,0.44,0.53,0.42,0.59,0.91,0.22,0.69,0.55
Manchester-by-the-Sea,0.75,0.9,0.86,0.89,0.81,0.81,0.73,0.83,0.82
