\,house_noplumbing_%,house_nokitchen_%,house_lt1939_%,house_1940to1999_%,house_2000to2014_%,median_owner_home_USD,median_sale_homes_USD,house_income_gt30_USD_%,gross_rent_%,property_val_USD,costas%income_wmgage_lt20%_%,costas%income_wmgage_20to25%_%,costas%income_wmgage_25to30%_%,costas%income_wmgage_30to35%_%,costas%income_wmgage_gt35%_%,costas%income_womgage_lt10%_%,costas%income_womgage_10to15%_%,costas%income_womgage_15to20%_%,costas%income_womgage_20to25%_%,costas%income_womgage_25to30%_%,costas%income_womgage_30to35%_%,costas%income_womgage_gt35%_%,homeless_Shelters_per_1000,moved_lastyear_%,renter_occupied_%,vacant_rentals_%,owner_homes_%,occ_lt0.5_%,occ_0.5to1.0_%,occ_1.01to1.5_%,occ_1.51to2.0_%,occ_gt2.01_%
costas%income_wmgage_lt20%_%,0.054992097137834955,0.18474871576411828,-0.1482374808707531,0.1519737574277073,0.0370212760627475,-0.036911325955612154,-0.03469985695253191,0.4545327318149894,0.256808853585694,-0.013875291145350006,1.0,-0.07304340526167047,-0.23983868218125903,-0.32096465017732967,-0.6882407959807718,0.24985587596416955,0.10444809966938563,-0.09055033361318017,-0.06680234031764817,-0.14167396154802364,-0.08145320675470064,-0.24132979080422695,-0.07909428708359781,-0.01948316000201306,0.23590065675287214,0.0655158267226171,0.20215611156096422,0.12889481325207064,-0.11069014092156236,-0.17170348968273383,-0.09194639219347225,0.013885073204107805
costas%income_wmgage_20to25%_%,0.19944469010817922,0.20776259775322584,-0.04437845366194894,0.05058907486902838,-0.009073611117813208,-0.1162900556813087,-0.13274280841568464,0.23477568822242043,0.09924001627146753,0.023001113592306135,-0.07304340526167047,1.0,-0.12932236847847373,-0.00039340127386292565,-0.4525139469180758,-0.01114322465669404,-0.008523532947328681,0.03895238142341418,-0.037862148653515455,0.13851071624321937,0.011313247011305138,-0.07816471193996043,0.009854394714073766,0.05545270730697834,-0.0040532516023124385,-0.07181043468462778,0.044529876218747586,-0.13306348669850207,0.168221987925672,-0.11260081718539663,-0.07472861327138973,-0.016426748804552468
costas%income_wmgage_25to30%_%,-0.019511324421280063,0.009387712862092537,0.012563975619974117,-0.05081589809347616,0.07772915927595682,-0.12210838367795776,-0.07482430956370421,0.1764802295400194,0.033055121499676134,0.023874462076748686,-0.23983868218125903,-0.12932236847847373,1.0,-0.17116601895233882,-0.11443393092694519,-0.023616103202851842,-0.009254627834987358,0.08689080813869826,0.07502267114309925,-0.1134479563544202,-0.014228797567039864,-0.0015364421284625772,0.023254475734662158,0.014989444158969445,-0.06889039303727414,-0.0323613207733228,-0.050289451790579545,-0.08025254124343582,0.08072962130582056,0.07391089211581671,-0.04816543699841704,-0.0137020930182384
costas%income_wmgage_30to35%_%,0.050334075143154924,0.04650499223987039,0.06749364052717242,-0.03561299445652596,-0.08772840996329653,-0.08841015322705298,-0.06144804550600083,-0.2934051486936304,-0.1686993049904619,-0.03794104806664475,-0.32096465017732967,-0.00039340127386292565,-0.17116601895233882,1.0,-0.006131657363736315,-0.17067862801777933,0.02951238932385755,0.08065375533186524,0.14421529231717972,-0.04587955480410472,0.01089761131109661,0.08728148877156643,-0.036740284607340065,0.001268416564693616,-0.059910225632282994,-0.050323362815834195,-0.06537359193003368,-0.0838363534253284,0.08554929468899941,0.03264776690385674,0.06425516933924512,0.027812314937365305
costas%income_wmgage_gt35%_%,-0.1819854964443639,-0.32703127651419717,0.1374400922693004,-0.13887435383372446,-0.03344139079728583,0.20129992041256706,0.1740694075014254,-0.5521876435505827,-0.25858048737454725,0.003464559412722389,-0.6882407959807718,-0.4525139469180758,-0.11443393092694519,-0.006131657363736315,1.0,-0.1577524415086544,-0.10426644467763072,-0.009808561780548066,-0.007893940332477896,0.13231071704931627,0.0757831085165779,0.24770857537758206,0.07452151796992047,-0.02137584705526547,-0.17037233085207568,0.014186053313316252,-0.17282531591379002,0.025719671153354752,-0.06516258444009232,0.18408579138169107,0.13220880770599014,-0.009191444120560293
costas%income_womgage_lt10%_%,-0.12116018864617083,-0.09156315430353192,-0.11657505138597536,0.059301094006751466,0.1816466918894359,0.15261676990382164,0.14545818132979596,0.15344223623327238,0.04823016559214185,-0.009128489238302824,0.24985587596416955,-0.01114322465669404,-0.023616103202851842,-0.17067862801777933,-0.1577524415086544,1.0,-0.3902933296459617,-0.2748392367553401,-0.2799932877406015,-0.2984343763089732,-0.24003148410771755,-0.37772713510960526,-0.11750231962303098,0.09731629079421654,0.14576303871431362,0.06862055320070701,0.1288467238125931,0.15039474904879957,-0.13453934620088986,-0.1265877118576401,-0.11905119040161918,0.08851108823980317
costas%income_womgage_10to15%_%,0.09455765023711968,0.16834895437305794,-0.03925754877767814,0.08298067372400407,-0.0867314857509376,-0.13928133506281679,-0.08076766493111937,-0.046684217001925425,0.026246271595301244,-0.03327944720848102,0.10444809966938563,-0.008523532947328681,-0.009254627834987358,0.02951238932385755,-0.10426644467763072,-0.3902933296459617,1.0,-0.2394416949351962,0.04126524499924986,0.0049054498467815165,-0.006588681412018334,-0.2872008472040653,-0.013172232323820551,-0.04446020242994153,0.08635060739671178,0.04059223684714057,0.08331532545352026,0.0033883708762057394,-0.0035118916957146123,0.008014758531766234,-0.017807727012129883,0.0028819046848512
costas%income_womgage_15to20%_%,-0.03264721177998515,-0.019214436079111944,-0.04187065223752119,0.03817711287445319,0.0158471505269725,-0.20849965411156896,-0.21495685578963988,7.866411936161555e-05,0.008945513496190946,0.01443886628876627,-0.09055033361318017,0.03895238142341418,0.08689080813869826,0.08065375533186524,-0.009808561780548066,-0.2748392367553401,-0.2394416949351962,1.0,-0.10615226148488698,-0.10753038096930041,-0.05663725913494812,-0.05648457528001035,-0.032782790676495296,0.007060204296531571,-0.029393924037931726,0.016055251452775143,-0.04210917602044445,-0.12856847866412924,0.12627624243858993,0.07827559804782057,0.04674989611753717,-0.026974409765977002
costas%income_womgage_20to25%_%,-0.002544651400323503,0.07696810521605096,0.14134807306038938,-0.09517639437534572,-0.1627564956929204,-0.15383218543062926,-0.15977475078427436,-0.032800503473214664,-0.03590692038061181,-0.024335463036364392,-0.06680234031764817,-0.037862148653515455,0.07502267114309925,0.14421529231717972,-0.007893940332477896,-0.2799932877406015,0.04126524499924986,-0.10615226148488698,1.0,-0.10910620933299708,-0.14747018039914744,-0.027598557781600037,0.03362898301596288,0.06921467325560518,-0.05129924994166361,-0.08363188833519414,-0.03606991787085457,-0.038081579951117224,0.03751869554762654,0.003023697046254665,-0.014716308346443907,-0.08417518254795407
costas%income_womgage_25to30%_%,0.10942380655218302,0.06667395569800796,0.018456447810089694,-0.013460528305592965,-0.017639864521102847,-0.06380144186405605,-0.03257032245157491,-0.0823472999063356,0.005409713722559988,-0.0832088346005687,-0.14167396154802364,0.13851071624321937,-0.1134479563544202,-0.04587955480410472,0.13231071704931627,-0.2984343763089732,0.0049054498467815165,-0.10753038096930041,-0.10910620933299708,1.0,0.077049512395782,-0.04185889446367054,0.06441439456098086,-0.08708202517528393,-0.04472520494857506,0.04008402974700619,-0.04518007711225398,-0.017764219748143854,0.009531297808748803,0.02085642358586689,0.09792820711908412,-0.005369079019082142
