index,BE,CC,ECON,EDU,EMP,HEA,HOU,VIO,AVG
Hadley,0.92,0.65,0.66,0.54,0.68,0.1,0.46,0.87,0.61
Halifax,0.95,0.7,0.26,0.67,0.44,0.6,0.68,0.88,0.65
Hamilton,0.86,0.55,0.48,0.65,0.8,0.72,0.5,0.88,0.68
Hampden,0.91,0.71,0.37,0.59,0.52,0.84,0.49,0.88,0.66
Hancock,0.94,0.66,0.06,0.29,0.39,0.99,0.0,0.87,0.52
Hanover,0.91,0.58,0.44,0.59,0.66,0.67,0.52,0.88,0.66
Hanson,0.92,0.65,0.12,0.72,0.39,0.77,0.51,0.87,0.62
Hardwick,0.94,0.65,0.41,0.23,0.35,0.84,0.43,0.83,0.58
Harvard,0.93,0.59,0.39,0.31,0.76,0.78,0.63,0.88,0.66
Harwich,0.92,0.68,0.49,0.93,0.42,0.6,0.5,0.87,0.68
Hatfield,0.85,0.71,0.25,0.5,0.53,0.89,0.66,0.84,0.65
Haverhill,0.85,0.54,0.43,0.73,0.4,0.61,0.65,0.84,0.63
Hawley,0.75,0.69,0.36,0.74,0.6,0.95,0.46,0.7,0.66
Heath,0.97,0.64,0.64,0.25,0.53,0.91,0.43,0.93,0.66
Hingham,0.85,0.57,0.71,0.61,0.83,0.61,0.51,0.88,0.7
Hinsdale,0.94,0.72,0.34,0.4,0.28,0.88,0.45,0.83,0.6
Holbrook,0.9,0.6,0.28,0.68,0.45,0.77,0.63,0.86,0.65
Holden,0.95,0.59,0.23,0.1,0.69,0.68,0.46,0.89,0.57
Holland,0.93,0.7,0.15,0.61,0.35,0.91,0.37,0.86,0.61
Holliston,0.93,0.57,0.32,0.64,0.79,0.78,0.35,0.89,0.66
Holyoke,0.83,0.53,0.61,0.8,0.31,0.4,0.64,0.63,0.59
Hopedale,0.88,0.61,0.25,0.57,0.66,0.9,0.26,0.84,0.62
Hopkinton,0.9,0.49,0.06,0.59,0.88,0.74,0.21,0.89,0.6
Hubbardston,0.99,0.68,0.17,0.64,0.59,0.92,0.36,0.79,0.64
Hudson,0.94,0.6,0.29,0.6,0.56,0.72,0.54,0.9,0.64
Hull,0.84,0.72,0.51,0.51,0.46,0.77,0.56,0.83,0.65
Huntington,0.95,0.51,0.24,0.55,0.32,0.75,0.51,0.94,0.6
Ipswich,0.92,0.68,0.6,0.52,0.66,0.76,0.55,0.88,0.7
Kingston,0.96,0.61,0.26,0.65,0.51,0.65,0.73,0.88,0.66
Lakeville,0.95,0.66,0.3,0.66,0.42,0.62,0.33,0.84,0.6
Lancaster,0.96,0.63,0.24,0.66,0.39,0.77,0.54,0.87,0.63
Lanesborough,0.93,0.72,0.15,0.54,0.54,0.89,0.5,0.84,0.64
Lawrence,0.61,0.45,0.34,0.78,0.0,0.44,0.88,0.88,0.55
Lee,0.9,0.66,0.26,0.59,0.32,0.47,0.39,0.86,0.56
Leicester,0.94,0.68,0.41,0.69,0.39,0.75,0.26,0.88,0.62
