\,house_nokitchen_%,house_lt1939_%,house_2000to2014_%,median_owner_home_USD,median_sale_homes_USD,house_income_gt30_USD_%,gross_rent_%,property_val_USD,costas%income_wmgage_lt20%_%,costas%income_wmgage_20to25%_%,costas%income_wmgage_25to30%_%,costas%income_wmgage_30to35%_%,costas%income_wmgage_gt35%_%,costas%income_womgage_lt10%_%,costas%income_womgage_10to15%_%,costas%income_womgage_15to20%_%,costas%income_womgage_20to25%_%,costas%income_womgage_25to30%_%,costas%income_womgage_30to35%_%,costas%income_womgage_gt35%_%,homeless_Shelters_per_1000,moved_lastyear_%,vacant_rentals_%,owner_homes_%,occ_lt0.5_%,occ_1.01to1.5_%,occ_1.51to2.0_%,occ_gt2.01_%
costas%income_wmgage_25to30%_%,0.009387712862092543,0.012563975619974122,0.07772915927595683,-0.12210838367795772,-0.07482430956370421,0.1764802295400194,0.033055121499676134,0.023874462076748686,-0.23983868218125903,-0.12932236847847373,1.0,-0.17116601895233882,-0.11443393092694516,-0.023616103202851842,-0.009254627834987367,0.08689080813869826,0.07502267114309925,-0.11344795635442018,-0.014228797567039844,-0.001536442128462572,0.02325447573466216,0.01498944415896945,-0.032361320773322814,-0.05028945179057955,-0.08025254124343582,0.07391089211581671,-0.04816543699841704,-0.013702093018238395
costas%income_wmgage_30to35%_%,0.04650499223987038,0.06749364052717242,-0.08772840996329655,-0.08841015322705296,-0.06144804550600083,-0.2934051486936304,-0.1686993049904619,-0.03794104806664475,-0.32096465017732967,-0.0003934012738629244,-0.17116601895233882,1.0,-0.00613165736373631,-0.17067862801777933,0.02951238932385756,0.08065375533186524,0.14421529231717972,-0.0458795548041047,0.01089761131109662,0.08728148877156643,-0.03674028460734005,0.001268416564693611,-0.050323362815834195,-0.06537359193003368,-0.0838363534253284,0.03264776690385674,0.06425516933924512,0.027812314937365305
costas%income_wmgage_gt35%_%,-0.3270312765141971,0.1374400922693004,-0.03344139079728583,0.20129992041256703,0.1740694075014254,-0.5521876435505828,-0.25858048737454725,0.003464559412722388,-0.6882407959807718,-0.4525139469180758,-0.11443393092694516,-0.00613165736373631,1.0,-0.1577524415086544,-0.1042664446776307,-0.009808561780548074,-0.007893940332477915,0.13231071704931627,0.07578310851657791,0.24770857537758204,0.07452151796992047,-0.02137584705526548,0.014186053313316255,-0.17282531591379002,0.025719671153354755,0.18408579138169107,0.13220880770599014,-0.009191444120560301
costas%income_womgage_lt10%_%,-0.09156315430353187,-0.11657505138597536,0.1816466918894359,0.15261676990382164,0.14545818132979593,0.15344223623327238,0.04823016559214185,-0.00912848923830282,0.24985587596416955,-0.011143224656694034,-0.023616103202851842,-0.17067862801777933,-0.1577524415086544,1.0,-0.3902933296459616,-0.2748392367553401,-0.2799932877406015,-0.2984343763089732,-0.24003148410771752,-0.37772713510960526,-0.11750231962303098,0.09731629079421654,0.06862055320070701,0.1288467238125931,0.15039474904879957,-0.1265877118576401,-0.11905119040161917,0.08851108823980317
costas%income_womgage_10to15%_%,0.16834895437305794,-0.03925754877767814,-0.0867314857509376,-0.13928133506281676,-0.08076766493111937,-0.046684217001925425,0.026246271595301237,-0.03327944720848102,0.10444809966938563,-0.008523532947328681,-0.009254627834987367,0.02951238932385756,-0.1042664446776307,-0.3902933296459616,1.0,-0.2394416949351962,0.04126524499924986,0.004905449846781519,-0.006588681412018313,-0.2872008472040653,-0.013172232323820546,-0.04446020242994152,0.04059223684714057,0.08331532545352024,0.0033883708762057346,0.008014758531766227,-0.017807727012129883,0.0028819046848512
costas%income_womgage_15to20%_%,-0.019214436079111937,-0.04187065223752119,0.0158471505269725,-0.20849965411156896,-0.21495685578963988,7.866411936161681e-05,0.008945513496190938,0.014438866288766266,-0.09055033361318014,0.03895238142341418,0.08689080813869826,0.08065375533186524,-0.009808561780548074,-0.2748392367553401,-0.2394416949351962,1.0,-0.10615226148488695,-0.10753038096930043,-0.05663725913494811,-0.05648457528001035,-0.03278279067649529,0.007060204296531571,0.016055251452775147,-0.04210917602044445,-0.12856847866412924,0.07827559804782055,0.046749896117537174,-0.026974409765977005
costas%income_womgage_20to25%_%,0.07696810521605095,0.14134807306038938,-0.1627564956929204,-0.15383218543062926,-0.15977475078427436,-0.03280050347321467,-0.03590692038061181,-0.024335463036364392,-0.06680234031764819,-0.037862148653515455,0.07502267114309925,0.14421529231717972,-0.007893940332477915,-0.2799932877406015,0.04126524499924986,-0.10615226148488695,1.0,-0.10910620933299708,-0.14747018039914744,-0.027598557781600027,0.03362898301596288,0.06921467325560518,-0.08363188833519414,-0.03606991787085456,-0.03808157995111722,0.0030236970462546703,-0.014716308346443907,-0.08417518254795407
costas%income_womgage_25to30%_%,0.06667395569800796,0.018456447810089666,-0.01763986452110286,-0.06380144186405606,-0.03257032245157492,-0.0823472999063356,0.005409713722559988,-0.0832088346005687,-0.14167396154802364,0.13851071624321937,-0.11344795635442018,-0.0458795548041047,0.13231071704931627,-0.2984343763089732,0.004905449846781519,-0.10753038096930043,-0.10910620933299708,1.0,0.077049512395782,-0.041858894463670554,0.06441439456098086,-0.08708202517528395,0.04008402974700619,-0.04518007711225397,-0.017764219748143854,0.020856423585866906,0.09792820711908415,-0.005369079019082131
costas%income_womgage_30to35%_%,0.07345611168575387,0.05473445454346701,-0.015147724055731355,-0.036485237535763694,-0.016224290323269375,-0.017357346092095962,0.09065585449061954,0.059223937357721634,-0.08145320675470064,0.011313247011305132,-0.014228797567039844,0.01089761131109662,0.07578310851657791,-0.24003148410771752,-0.006588681412018313,-0.05663725913494811,-0.14747018039914744,0.077049512395782,1.0,-0.031873216274294076,0.19899600106965654,-0.0737678078930602,-0.12129737249481025,-0.1065189790052115,-0.11888189103875854,0.09650612438175812,0.09588988414197902,-0.0689625770971657
costas%income_womgage_gt35%_%,-0.1518555111356181,0.1273145932235883,-0.0740194594870725,0.2625257732919465,0.19058303355296824,-0.10490718537036894,-0.13609544092215473,0.07433465771485419,-0.24132979080422695,-0.07816471193996043,-0.001536442128462572,0.08728148877156643,0.24770857537758204,-0.37772713510960526,-0.2872008472040653,-0.05648457528001035,-0.027598557781600027,-0.041858894463670554,-0.031873216274294076,1.0,0.06110066661222929,-0.060995322166010016,-0.07180926080508816,-0.14261555134687384,-0.021660232098996212,0.051548992407505614,0.05970258501068273,-0.02208906318558991
