index,BE,CC,ECON,EDU,EMP,HEA,HOU,VIO,AVG
Peru,0.17,0.95,0.06,0.39,0.84,0.01,0.08,0.37,0.36
Petersham,0.2,0.96,0.16,0.49,0.42,0.01,0.13,0.62,0.37
Phillipston,0.22,0.95,0.24,0.49,0.51,0.01,0.1,0.42,0.37
Pittsfield,0.2,0.5,0.17,0.39,0.51,0.34,0.09,0.21,0.3
Plainfield,0.2,0.95,0.26,0.35,0.78,0.01,0.12,0.44,0.39
Plainville,0.2,0.52,0.43,0.27,0.9,0.24,0.21,0.57,0.42
Plymouth,0.2,0.53,0.18,0.38,0.62,0.22,0.18,0.51,0.35
Plympton,0.21,0.89,0.06,0.38,0.59,0.04,0.19,0.58,0.37
Princeton,0.28,0.95,0.01,0.43,0.73,0.01,0.19,0.59,0.4
Provincetown,0.23,0.96,0.24,0.41,0.41,0.17,0.33,0.03,0.35
Quincy,0.2,0.44,0.17,0.48,0.68,0.29,0.22,0.44,0.37
Randolph,0.19,0.4,0.16,0.31,0.36,0.13,0.19,0.44,0.27
Raynham,0.19,0.49,0.1,0.49,0.73,0.31,0.16,0.53,0.38
Reading,0.19,0.48,0.16,0.58,0.79,0.19,0.27,0.59,0.41
Rehoboth,0.19,0.88,0.18,0.49,0.86,0.12,0.18,0.54,0.43
Revere,0.19,0.44,0.2,0.29,0.41,0.18,0.17,0.4,0.28
Richmond,0.12,0.94,0.28,0.52,0.56,0.01,0.17,0.31,0.36
Rochester,0.2,0.91,0.31,0.49,0.71,0.01,0.17,0.5,0.41
Rockland,0.2,0.48,0.26,0.44,0.78,0.06,0.18,0.46,0.36
Rockport,0.19,0.54,0.23,0.45,0.43,0.09,0.72,0.57,0.4
Rowe,0.24,0.96,0.48,0.23,0.47,0.01,0.09,0.35,0.35
Rowley,0.2,0.61,0.0,0.61,0.7,0.15,0.33,0.53,0.39
Royalston,0.24,0.95,0.12,0.35,0.58,0.01,0.08,0.39,0.34
Russell,0.21,0.79,0.22,0.24,0.65,0.01,0.08,0.14,0.29
Rutland,0.2,0.75,0.21,0.53,0.77,0.05,0.18,0.42,0.39
Salem,0.2,0.44,0.17,0.19,0.69,0.26,0.19,0.36,0.31
Salisbury,0.2,0.54,0.14,0.34,0.46,0.12,0.13,0.38,0.29
Sandisfield,0.12,0.96,0.27,0.61,0.46,0.0,0.13,0.34,0.36
Sandwich,0.2,0.5,0.15,0.47,0.63,0.19,0.19,0.5,0.35
Saugus,0.2,0.48,0.14,0.35,0.58,0.16,0.22,0.51,0.33
Savoy,0.16,0.95,0.23,0.12,0.59,0.01,0.07,0.53,0.33
Scituate,0.2,0.52,0.16,0.56,0.62,0.15,0.31,0.46,0.37
Seekonk,0.2,0.53,0.21,0.47,0.76,0.22,0.25,0.56,0.4
Sharon,0.19,0.49,0.39,0.76,0.8,0.2,0.32,0.59,0.47
Sheffield,0.2,0.96,0.1,0.59,0.64,0.1,0.17,0.66,0.43
Shelburne,0.0,0.96,0.14,0.89,0.39,0.16,0.12,0.61,0.41
Sherborn,0.14,0.79,0.18,0.79,0.65,0.15,0.44,0.58,0.46
Shirley,0.2,0.58,0.47,0.23,0.4,0.08,0.17,0.5,0.33
Shrewsbury,0.2,0.45,0.32,0.67,0.7,0.17,0.18,0.62,0.41
Shutesbury,0.23,0.95,0.2,0.46,0.7,0.01,0.16,0.36,0.38
Somerset,0.2,0.49,0.22,0.28,0.42,0.08,0.12,0.48,0.29
Somerville,0.2,0.45,0.26,0.42,1.0,0.17,0.23,0.54,0.41
South Hadley,0.19,0.47,0.19,0.58,0.54,0.09,0.14,0.51,0.34
Southampton,0.21,0.86,0.23,0.54,0.61,0.2,0.23,0.57,0.43
Southborough,0.19,0.46,0.2,0.88,0.74,0.14,0.28,0.6,0.44
Southbridge,0.2,0.5,0.17,0.12,0.57,0.17,0.1,0.32,0.27
Southwick,0.2,0.7,0.33,0.45,0.58,0.17,0.12,0.56,0.39
Spencer,0.2,0.64,0.24,0.43,0.59,0.12,0.11,0.55,0.36
Springfield,0.2,0.4,0.15,0.0,0.37,0.25,0.08,0.0,0.18
