\,house_noplumbing_%,house_nokitchen_%,house_lt1939_%,house_1940to1999_%,house_2000to2014_%,median_owner_home_USD,median_sale_homes_USD,house_income_gt30_USD_%,gross_rent_%,property_val_USD,costas%income_wmgage_lt20%_%,costas%income_wmgage_20to25%_%,costas%income_wmgage_25to30%_%,costas%income_wmgage_30to35%_%,costas%income_wmgage_gt35%_%,costas%income_womgage_lt10%_%,costas%income_womgage_10to15%_%,costas%income_womgage_15to20%_%,costas%income_womgage_20to25%_%,costas%income_womgage_25to30%_%,costas%income_womgage_30to35%_%,costas%income_womgage_gt35%_%,homeless_Shelters_per_1000,moved_lastyear_%,renter_occupied_%,vacant_rentals_%,owner_homes_%,occ_lt0.5_%,occ_0.5to1.0_%,occ_1.01to1.5_%,occ_1.51to2.0_%,occ_gt2.01_%
costas%income_wmgage_lt20%_%,0.304241984506605,0.0005034515544116998,0.00539067099918784,0.0043218146016146845,0.4893416562582579,0.49063347153658965,0.5169993086012545,2.6878807463040997e-19,1.0816548652797009e-06,0.7956053914997834,0.0,0.17212397075390434,5.523897703722897e-06,7.487128824668585e-10,1.4121403829931532e-50,2.139974780532054e-06,0.05055885930946115,0.0902862097798367,0.21185823450894856,0.007855610430405072,0.12773026678497681,4.809042686811851e-06,0.1391769760632717,0.7160451780146724,7.931158942421569e-06,0.22081040523751322,0.00013710814600743646,0.015678399540714618,0.03819507625414507,0.0012404805859139055,0.08541140188884107,0.7954644776641916
costas%income_wmgage_20to25%_%,0.00016915332685929374,8.802893066454828e-05,0.40717644346630777,0.3446535721200983,0.8654889836806605,0.029382411167624627,0.012807092778243198,8.784521277668159e-06,0.06328043432859709,0.6675991277960198,0.17212397075390434,0.0,0.0153337000252421,0.9941403247032011,4.0364338154782066e-19,0.8352055365254177,0.8735730672424612,0.46695304053402287,0.479522740283607,0.009369304611999987,0.8327278446500866,0.14389790014180387,0.8540386158988882,0.3002032709011344,0.9396839690214231,0.17949793517020973,0.405576222049454,0.012590176144513524,0.0015617081071782626,0.03496519371382468,0.16241356387116168,0.7590885219931701
costas%income_wmgage_25to30%_%,0.7156524487559757,0.8608790897190541,0.8145536585052122,0.34249197829488154,0.14615152094793468,0.022131232890151186,0.16187475711713065,0.0008980397752830587,0.5370717263197713,0.655773561913463,5.523897703722897e-06,0.0153337000252421,0.0,0.001285738023888757,0.03208766486138135,0.6592630961223787,0.8628317367593207,0.10412699943269124,0.16076218584546592,0.03360922209153428,0.790517261983549,0.9771177569462463,0.6641598448385633,0.7795993945314658,0.19788964579112192,0.5456543436452167,0.3475221918340091,0.13346192828352185,0.13116119000090945,0.16707271175383517,0.36828920396267695,0.7981014638236424
costas%income_wmgage_30to35%_%,0.34709400789854006,0.38504795528742664,0.20715713586891116,0.5060247648113002,0.10081953783347443,0.09818951819874343,0.250882899883533,2.1301517368340442e-08,0.0015135606091362661,0.47860695248718144,7.487128824668585e-10,0.9941403247032011,0.001285738023888757,0.0,0.9088669202569059,0.0013280854857805557,0.5815910479099154,0.13152499520688782,0.006801779657094243,0.3914789280544414,0.8387876676460857,0.10257378195519248,0.49264667685294294,0.9811086422298845,0.26296113263422016,0.3471967676640625,0.22181647775525237,0.11692033541653192,0.10960242003657149,0.54210268326005,0.2298414946685175,0.6035478331601967
costas%income_wmgage_gt35%_%,0.0006125696052912581,3.4175386406143997e-10,0.009937417842900724,0.009183015212036969,0.5323228625193699,0.0001465537582408018,0.001058153233520433,2.0959672020653744e-29,9.06149424375454e-07,0.9484310496075672,1.4121403829931532e-50,4.0364338154782066e-19,0.03208766486138135,0.9088669202569059,0.0,0.003041363401810064,0.05096361492640789,0.8547099454733871,0.8828418212623427,0.013104577295414893,0.1565503058161561,2.631364064247057e-06,0.16358420088840395,0.6898243622214902,0.0013553501868107086,0.7911320259195433,0.0011507003015499978,0.63107203509778,0.2233150180606125,0.000527847097545146,0.013175619937422132,0.8637590723388331
costas%income_womgage_lt10%_%,0.02319497744018266,0.0867280165503416,0.028984846037479754,0.26785407671392164,0.0006273621667751481,0.004158496154691468,0.006333988263372323,0.003957015766696877,0.3676451921449492,0.864683235290051,2.139974780532054e-06,0.8352055365254177,0.6592630961223787,0.0013280854857805557,0.003041363401810064,0.0,3.220110274947076e-14,1.6783435768567562e-07,9.605963293375736e-08,1.1863927832670188e-08,5.426068234577789e-06,2.396276578039233e-13,0.027723065757286072,0.06860061948184384,0.00622374403915876,0.19965608948673338,0.015717591211074772,0.004747706024123959,0.011633070400315186,0.017657995277240428,0.025720568843408818,0.09780481233092357
costas%income_womgage_10to15%_%,0.07686322417735329,0.0015487656162734085,0.46346753282012165,0.12071626730075322,0.10476572855155272,0.008978431114190928,0.13097904956987347,0.3832170223378619,0.6240955862056417,0.5343112462213628,0.05055885930946115,0.8735730672424612,0.8628317367593207,0.5815910479099154,0.05096361492640789,3.220110274947076e-14,0.0,5.730653336164403e-06,0.44089977428168114,0.9270346863044827,0.9021071594195098,4.317841423987735e-08,0.8057503022398216,0.4063120638768536,0.10630523742916168,0.44839407923918906,0.11922042095925396,0.9495635715001541,0.9477275201761719,0.8810618775539891,0.7395389643590415,0.9570945239301608
costas%income_womgage_15to20%_%,0.5421095551501717,0.7197960571066838,0.4342197391885835,0.4758726314867803,0.7673402145115868,8.297383891927422e-05,4.898581185319053e-05,0.9988282952124682,0.86737031835682,0.7874978673006863,0.0902862097798367,0.46695304053402287,0.10412699943269124,0.13152499520688782,0.8547099454733871,1.6783435768567562e-07,5.730653336164403e-06,0.0,0.046890706882445315,0.04408984797474949,0.2899810241521058,0.2912853710315621,0.5404325072416698,0.8951403534601359,0.5831089334332795,0.7643744213321887,0.4316039530569712,0.015946042819911705,0.017941300580298372,0.14332841641777458,0.3825473861353289,0.6145042771316864
costas%income_womgage_20to25%_%,0.9621115046444375,0.15015374890323577,0.008000784291273636,0.07494298262194103,0.002222364288699711,0.0038649419535431682,0.0026820394068457704,0.5402135991274993,0.5025183618624455,0.6495656206247149,0.21185823450894856,0.479522740283607,0.16076218584546592,0.006801779657094243,0.8828418212623427,9.605963293375736e-08,0.44089977428168114,0.046890706882445315,0.0,0.041060838730279624,0.0056375881004619745,0.6063346077995588,0.530024231297038,0.19578191572850281,0.3379145652876294,0.11781877847812362,0.5005794041077041,0.4769781537546478,0.48352027939564746,0.9549857141706726,0.7835149666574542,0.11544328585616799
costas%income_womgage_25to30%_%,0.040472111159365956,0.2127396836802985,0.7304121327944213,0.8015862414475688,0.7419066362467739,0.23315505834580993,0.543061787541169,0.12358734926919993,0.9195582684920753,0.11969484304137883,0.007855610430405072,0.009369304611999987,0.03360922209153428,0.3914789280544414,0.013104577295414893,1.1863927832670188e-08,0.9270346863044827,0.04408984797474949,0.041060838730279624,0.0,0.14972171159880296,0.43434891698616673,0.22868661941377455,0.103364474810093,0.40351753877964525,0.4541006446657141,0.39874759068036936,0.7401523920196735,0.858773335570154,0.6969850770263667,0.06687000079491576,0.9201604815121172
