index,BE,CC,ECON,EDU,EMP,HEA,HOU,VIO,AVG
Lee,0.07,0.76,0.22,0.53,0.5,0.16,0.1,0.65,0.37
Leicester,0.06,0.75,0.15,0.45,0.74,0.07,0.12,0.71,0.38
Lenox,0.05,0.84,0.21,0.52,0.28,0.2,0.19,0.68,0.37
Leominster,0.06,0.64,0.16,0.45,0.65,0.25,0.13,0.41,0.34
Leverett,0.1,0.82,0.17,0.58,0.64,0.01,0.18,0.86,0.42
Lexington,0.05,0.64,0.29,0.87,0.53,0.49,0.34,0.72,0.49
Leyden,0.08,0.88,0.36,0.42,0.84,0.0,0.11,0.96,0.46
Lincoln,0.01,0.61,0.15,0.75,0.39,0.09,0.46,0.81,0.41
Littleton,0.06,0.73,0.22,0.62,0.67,0.16,0.21,0.79,0.43
Longmeadow,0.06,0.7,0.19,0.67,0.53,0.39,0.21,0.81,0.45
Lowell,0.06,0.36,0.15,0.36,0.53,0.2,0.12,0.49,0.28
Ludlow,0.06,0.72,0.28,0.5,0.55,0.16,0.1,0.71,0.39
Lunenburg,0.04,0.75,0.27,0.55,0.71,0.18,0.13,0.72,0.42
Lynn,0.06,0.31,0.15,0.25,0.47,0.14,0.13,0.54,0.26
Lynnfield,0.05,0.76,0.26,0.56,0.61,0.25,0.51,0.82,0.48
Malden,0.06,0.31,0.18,0.38,0.59,0.2,0.18,0.69,0.32
Manchester-by-the-Sea,0.07,0.78,0.21,0.66,0.56,0.21,0.45,0.85,0.47
Mansfield,0.06,0.66,0.31,0.62,0.93,0.21,0.25,0.68,0.46
Marblehead,0.06,0.67,0.28,0.6,0.57,0.24,0.4,0.79,0.45
Marion,0.06,0.83,0.06,0.6,0.32,0.02,0.31,0.73,0.37
Marlborough,0.06,0.56,0.15,0.43,0.78,0.33,0.23,0.57,0.39
Marshfield,0.06,0.73,0.3,0.5,0.69,0.16,0.22,0.84,0.44
Mashpee,0.06,0.79,0.17,0.47,0.42,0.19,0.14,0.69,0.37
Mattapoisett,0.06,0.8,0.42,0.62,0.55,0.15,0.29,0.77,0.46
Maynard,0.05,0.62,0.38,0.53,0.88,0.1,0.13,0.77,0.43
Medfield,0.06,0.76,0.22,0.65,0.71,0.25,0.43,0.97,0.51
Medford,0.06,0.54,0.22,0.44,0.73,0.26,0.2,0.74,0.4
Medway,0.06,0.63,0.32,0.58,0.94,0.14,0.22,0.87,0.47
Melrose,0.05,0.59,0.22,0.47,0.81,0.34,0.23,0.8,0.44
Mendon,0.07,0.78,0.25,0.51,0.91,0.07,0.21,0.76,0.44
Merrimac,0.08,0.79,0.1,0.37,0.67,0.09,0.24,0.86,0.4
Methuen,0.06,0.59,0.18,0.4,0.72,0.29,0.15,0.74,0.39
Middleborough,0.06,0.7,0.21,0.44,0.61,0.14,0.18,0.64,0.37
Middlefield,0.11,0.91,0.2,0.61,0.94,0.0,0.0,0.81,0.45
Middleton,0.06,0.74,0.11,0.56,0.55,0.21,0.25,0.77,0.41
Milford,0.06,0.56,0.36,0.41,0.79,0.38,0.14,0.68,0.42
Millbury,0.06,0.75,0.1,0.45,0.71,0.1,0.14,0.72,0.38
